"filename", "language", "TypeScript", "JSON with Comments", "Less", "SCSS", "JSON", "vue", "HTML", "Markdown", "Python", "XML", "SQL", "comment", "blank", "total"
"d:\vscode\test\Apartment-Recommend-System\frontend\package.json", "JSON", 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 1, 87
"d:\vscode\test\Apartment-Recommend-System\frontend\src\App.vue", "vue", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 10, 39
"d:\vscode\test\Apartment-Recommend-System\frontend\src\api\config.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 13
"d:\vscode\test\Apartment-Recommend-System\frontend\src\api\login.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 52
"d:\vscode\test\Apartment-Recommend-System\frontend\src\api\request.ts", "TypeScript", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 84
"d:\vscode\test\Apartment-Recommend-System\frontend\src\app.less", "Less", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\Appointment\AppointmentBill.vue", "vue", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 3, 54
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\Appointment\AppointmentDetail.vue", "vue", 0, 0, 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 12, 174
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\Appointment\AppointmentHistory.vue", "vue", 0, 0, 0, 0, 0, 163, 0, 0, 0, 0, 0, 0, 12, 175
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\FilterBar\Direction.vue", "vue", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 1, 61
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\FilterBar\FilterBar.vue", "vue", 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 5, 124
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\FilterBar\House.vue", "vue", 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 4, 110
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\FilterBar\Location.vue", "vue", 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 18, 228
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\FilterBar\More.vue", "vue", 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 5, 129
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\FilterBar\Rent.vue", "vue", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 3, 82
