"filename", "language", "vue", "TypeScript React", "TypeScript", "SCSS", "CSS", "XML", "comment", "blank", "total"
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\Property\Service.vue", "vue", 304, 0, 0, 0, 0, 0, 1, 23, 328
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\Property\ServiceOrder.vue", "vue", 256, 0, 0, 0, 0, 0, 3, 16, 275
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\dashboard\admin\index.vue", "vue", 13, 0, 0, 0, 0, 0, 0, 2, 15
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\dashboard\user\index.vue", "vue", 198, 0, 0, 0, 0, 0, 1, 18, 217
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\error-page\403.vue", "vue", 9, 0, 0, 0, 0, 0, 0, 2, 11
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\error-page\404.vue", "vue", 9, 0, 0, 0, 0, 0, 0, 2, 11
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\error-page\components\ErrorPageLayout.vue", "vue", 23, 0, 0, 0, 0, 0, 0, 2, 25
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\lease\index.vue", "vue", 244, 0, 0, 0, 0, 0, 3, 16, 263
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\login\index.vue", "vue", 177, 0, 0, 0, 0, 0, 0, 6, 183
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\permission\components\SwitchRoles.vue", "vue", 32, 0, 0, 0, 0, 0, 0, 5, 37
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\permission\directive.vue", "vue", 81, 0, 0, 0, 0, 0, 0, 6, 87
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\permission\page.vue", "vue", 19, 0, 0, 0, 0, 0, 0, 4, 23
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\post\index.vue", "vue", 270, 0, 0, 0, 0, 0, 0, 22, 292
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\redirect\index.vue", "vue", 9, 0, 0, 0, 0, 0, 0, 4, 13
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\rent\appointment\index.vue", "vue", 238, 0, 0, 0, 0, 0, 1, 17, 256
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\rent\rentOrder\index.vue", "vue", 267, 0, 0, 0, 0, 0, 3, 14, 284
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\rent\room\index.vue", "vue", 317, 0, 0, 0, 0, 0, 1, 24, 342
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\table\element-plus\index.vue", "vue", 236, 0, 0, 0, 0, 0, 1, 13, 250
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\table\vxe-table\index.vue", "vue", 375, 0, 0, 0, 0, 0, 5, 9, 389
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\table\vxe-table\tsx\RoleColumnSolts.tsx", "TypeScript React", 0, 9, 0, 0, 0, 0, 0, 3, 12
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\table\vxe-table\tsx\StatusColumnSolts.tsx", "TypeScript React", 0, 14, 0, 0, 0, 0, 0, 3, 17
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\unocss\index.vue", "vue", 16, 0, 0, 0, 0, 0, 0, 1, 17
"Total", "-", 4570, 23, 1902, 256, 44, 22, 261, 715, 7793
