"filename", "language", "TypeScript", "JSON", "vue", "comment", "blank", "total"
"d:\vscode\graDes\housing-recommend-system\src\App.vue", "vue", 0, 0, 1, 0, 2, 3
"d:\vscode\graDes\housing-recommend-system\src\components\HouseService\OrderServiceDetail.vue", "vue", 0, 0, 1, 0, 0, 1
"d:\vscode\graDes\housing-recommend-system\src\components\HouseService\orderService.vue", "vue", 0, 0, 1, 0, 0, 1
"d:\vscode\graDes\housing-recommend-system\src\components\public\NoMore.vue", "vue", 0, 0, 5, 0, 0, 5
"d:\vscode\graDes\housing-recommend-system\src\components\user\UserPost.vue", "vue", 0, 0, 2, 0, 1, 3
"d:\vscode\graDes\housing-recommend-system\src\pages.json", "JSON", 0, 0, 0, 0, 1, 1
"d:\vscode\graDes\housing-recommend-system\src\pages\Appointment\AppointmentDetail.vue", "vue", 0, 0, -2, 0, 0, -2
"d:\vscode\graDes\housing-recommend-system\src\pages\Booking.vue", "vue", 0, 0, 2, 0, 1, 3
"d:\vscode\graDes\housing-recommend-system\src\pages\HouseDetail.vue", "vue", 0, 0, 9, 0, 2, 11
"d:\vscode\graDes\housing-recommend-system\src\pages\HouseSearch\Search.vue", "vue", 0, 0, 1, 0, 0, 1
"d:\vscode\graDes\housing-recommend-system\src\pages\PostDetail.vue", "vue", 0, 0, 8, 0, 2, 10
"d:\vscode\graDes\housing-recommend-system\src\pages\Rent\Rent.vue", "vue", 0, 0, 5, 0, 0, 5
"d:\vscode\graDes\housing-recommend-system\src\pages\booking\ServiceBooking.vue", "vue", 0, 0, 1, 0, 1, 2
"d:\vscode\graDes\housing-recommend-system\src\pages\houseOrder\Order.vue", "vue", 0, 0, 1, 0, 0, 1
"d:\vscode\graDes\housing-recommend-system\src\pages\serviceOrder\Order.vue", "vue", 0, 0, 1, 0, 0, 1
"d:\vscode\graDes\housing-recommend-system\src\pages\serviceOrder\OrderDetail.vue", "vue", 0, 0, 1, 0, 0, 1
"d:\vscode\graDes\housing-recommend-system\src\pages\tabbar\Community.vue", "vue", 0, 0, 2, 0, -1, 1
"d:\vscode\graDes\housing-recommend-system\src\pages\tabbar\Home.vue", "vue", 0, 0, 40, 0, 6, 46
"d:\vscode\graDes\housing-recommend-system\src\pages\user\UserInfo.vue", "vue", 0, 0, 7, 0, 0, 7
"d:\vscode\graDes\housing-recommend-system\src\service\RoomService.ts", "TypeScript", 6, 0, 0, 0, 0, 6
"d:\vscode\graDes\housing-recommend-system\src\store\HouseAppointment.ts", "TypeScript", -1, 0, 0, 1, 0, 0
"d:\vscode\graDes\housing-recommend-system\src\utils\RecommendRecordHandler.ts", "TypeScript", 77, 0, 0, 1, 8, 86
"d:\vscode\graDes\housing-recommend-system\src\utils\localStorage.ts", "TypeScript", -3, 0, 0, 0, 1, -2
"Total", "-", 79, 0, 86, 2, 24, 191
