"filename", "language", "JSON", "Python", "XML", "SQL", "Java", "YAML", "Batch", "Properties", "comment", "blank", "total"
"d:\vscode\test\Apartment-Recommend-System\backend\src\main\resources\mapper\ServiceMapper.xml", "XML", 0, 0, -10, 0, 0, 0, 0, 0, 0, -1, -11
"d:\vscode\test\Apartment-Recommend-System\backend\src\main\resources\mapper\ServiceOrderMapper.xml", "XML", 0, 0, -18, 0, 0, 0, 0, 0, 0, -5, -23
"d:\vscode\test\Apartment-Recommend-System\backend\src\main\resources\mapper\UserMapper.xml", "XML", 0, 0, -10, 0, 0, 0, 0, 0, 0, -1, -11
"d:\vscode\test\Apartment-Recommend-System\backend\src\test\java\com\example\demo\MySpringBootWebSocketApplicationTests.java", "Java", 0, 0, 0, 0, -42, 0, 0, 0, 0, -15, -57
"d:\vscode\test\Apartment-Recommend-System\spiderAndAlgrithom\.idea\content-based-recommendation.iml", "XML", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"d:\vscode\test\Apartment-Recommend-System\spiderAndAlgrithom\.idea\dataSources.xml", "XML", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 12
"d:\vscode\test\Apartment-Recommend-System\spiderAndAlgrithom\.idea\inspectionProfiles\Project_Default.xml", "XML", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 29
"d:\vscode\test\Apartment-Recommend-System\spiderAndAlgrithom\.idea\inspectionProfiles\profiles_settings.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"d:\vscode\test\Apartment-Recommend-System\spiderAndAlgrithom\.idea\misc.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"d:\vscode\test\Apartment-Recommend-System\spiderAndAlgrithom\.idea\modules.xml", "XML", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"d:\vscode\test\Apartment-Recommend-System\spiderAndAlgrithom\.idea\other.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"d:\vscode\test\Apartment-Recommend-System\spiderAndAlgrithom\.idea\vcs.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"d:\vscode\test\Apartment-Recommend-System\spiderAndAlgrithom\algrithom\RecommendSystem.py", "Python", 0, 331, 0, 0, 0, 0, 0, 0, 129, 74, 534
"d:\vscode\test\Apartment-Recommend-System\spiderAndAlgrithom\algrithom\cache.py", "Python", 0, 30, 0, 0, 0, 0, 0, 0, 6, 2, 38
"d:\vscode\test\Apartment-Recommend-System\spiderAndAlgrithom\algrithom\constant.py", "Python", 0, 32, 0, 0, 0, 0, 0, 0, 6, 4, 42
"d:\vscode\test\Apartment-Recommend-System\spiderAndAlgrithom\spiderRoot\database\room.sql", "SQL", 0, 0, 0, 129797, 0, 0, 0, 0, 33, 75, 129905
"d:\vscode\test\Apartment-Recommend-System\spiderAndAlgrithom\spiderRoot\spider\anjuke.py", "Python", 0, 321, 0, 0, 0, 0, 0, 0, 69, 33, 423
"d:\vscode\test\Apartment-Recommend-System\spiderAndAlgrithom\spiderRoot\spider\city.py", "Python", 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\vscode\test\Apartment-Recommend-System\spiderAndAlgrithom\spiderRoot\spider\room.py", "Python", 0, 86, 0, 0, 0, 0, 0, 0, 1, 4, 91
"d:\vscode\test\Apartment-Recommend-System\spiderAndAlgrithom\spiderRoot\spider\武汉.json", "JSON", 233, 0, 0, 0, 0, 0, 0, 0, 0, 0, 233
"Total", "-", 233, 811, -407, 129797, -2088, -30, -96, -2, 70, -337, 127951
